Lagoa do Ouro (PE),46966,48887,56248,64257,69555,88183
Lagoa dos Gatos (PE),53807,61841,67923,74566,79803,88088
Lagoa Grande (PE),151248,181352,189174,206926,263259,290112
Lajedo (PE),187481,191951,229515,267355,324636,380023
Limoeiro (PE),284321,351643,395027,476889,539835,598916
Macaparana (PE),106838,127859,140859,166151,185923,215761
Machados (PE),60294,81179,81900,102651,102931,115248
Manari (PE),63913,67476,79576,78257,87796,98291
Maraial (PE),67187,82832,89749,60375,65216,67885
Mirandiba (PE),61802,68526,78248,87734,104043,118391
Moreno (PE),312778,342814,377378,413527,488626,560996
Nazaré da Mata (PE),196221,236000,268489,320060,349619,401566
Olinda (PE),2768321,3479823,3889369,4404632,4899995,5327121
Orobó (PE),112804,126101,140991,176545,199940,224778
Orocó (PE),88198,112159,99014,114678,138099,150806
Ouricuri (PE),263561,302985,332911,380335,435273,492068
Palmares (PE),441263,484107,554135,653201,760503,808436
Palmeirina (PE),35010,36329,40238,43493,49784,56931
Panelas (PE),92761,103495,113806,126485,137346,152946
Paranatama (PE),50655,48323,56704,65799,63151,74087
Parnamirim (PE),85846,103284,120582,137221,143153,157765
Passira (PE),106253,124260,137800,145121,164441,189181
Paudalho (PE),255175,310726,351104,435135,457881,512772
Paulista (PE),1863690,2155696,2723359,3454293,3772154,4083576
Pedra (PE),96008,104870,115959,125970,147309,150762
Pesqueira (PE),307982,353864,388135,487066,555170,602870
Petrolândia (PE),598256,932345,891557,1067584,443407,579831
Petrolina (PE),2662758,3434155,3781200,4441302,4882785,5230472
Poção (PE),42679,50005,55306,59869,66423,73002
Pombos (PE),123874,161601,193836,224131,250985,298769
Primavera (PE),85558,131399,127795,126547,130795,130782
Quipapá (PE),102606,150189,156238,139310,143411,166695
Quixaba (PE),26789,25990,32454,33875,37302,48116
Recife (PE),28015832,33369681,37630879,42890606,46771183,50688395
Riacho das Almas (PE),81817,95539,102770,120761,132413,160044
Ribeirão (PE),220348,265945,286722,305727,329983,372299
Rio Formoso (PE),133339,185176,192835,228327,214780,228547
Sairé (PE),62317,95253,104248,105325,102350,121072
Salgadinho (PE),26465,37427,41404,41449,43979,49419
Salgueiro (PE),381952,858894,882514,799998,658744,773844
Saloá (PE),62091,65963,72844,81894,92905,106607
Sanharó (PE),84714,102757,113985,131543,147157,163008
Santa Cruz (PE),54345,53712,64206,67643,78769,89516
Santa Cruz da Baixa Verde (PE),39735,42446,46040,50397,57869,67138
Santa Cruz do Capibaribe (PE),546076,727015,852564,1017659,1112948,1262032
Santa Filomena (PE),46864,49851,54274,58602,63204,73837
Santa Maria da Boa Vista (PE),276938,285502,280809,342768,419963,457477
Santa Maria do Cambucá (PE),44473,55950,66068,71174,71842,80659
Santa Terezinha (PE),34662,37797,48967,50431,54309,62127
São Benedito do Sul (PE),40683,50215,63465,67420,69033,76542
São Bento do Una (PE),292776,348342,491223,595750,649597,734172
São Caitano (PE),140819,167385,195544,216122,249658,302216
São João (PE),92272,97079,109291,129387,150420,158410
São Joaquim do Monte (PE),81481,121436,123576,115771,119288,132200
São José da Coroa Grande (PE),77796,93313,126571,163463,181662,204886
São José do Belmonte (PE),126389,143041,167993,186196,203231,227596
São José do Egito (PE),145826,162589,182920,206379,243016,298151
São Lourenço da Mata (PE),423223,553856,796682,1047666,819448,906726
São Vicente Ferrer (PE),86776,98702,119289,138315,162084,215602
Serra Talhada (PE),586658,746908,902032,1027708,1090726,1247288
Serrita (PE),70258,73744,88884,98463,105813,114357
Sertânia (PE),197999,201493,190651,211000,225298,252164
Sirinhaém (PE),246701,358797,369841,411496,422508,483373
Moreilândia (PE),42297,48480,51587,60752,68026,75775
Solidão (PE),23657,25159,28781,29675,33768,37877
Surubim (PE),273837,398380,442607,538659,596604,662322
Tabira (PE),104828,113400,128855,151991,188414,210401
Tacaimbó (PE),49899,54311,62232,67036,81637,97226
Tacaratu (PE),65193,79676,90182,100462,117543,141800
Tamandaré (PE),112153,159827,190233,219413,208656,231937
Taquaritinga do Norte (PE),103413,119355,136359,179096,193041,213241
Terezinha (PE),26606,31545,36253,34530,37921,43267
Terra Nova (PE),38676,38700,43037,50649,52948,57422
Timbaúba (PE),408517,471339,520299,591619,592476,640605
Toritama (PE),200160,282076,357136,528127,576422,603689
Tracunhaém (PE),74377,79874,85657,82967,84863,95977
Trindade (PE),129295,157479,186384,213982,261824,274864
Triunfo (PE),60906,66198,78199,87501,101882,112373
Tupanatinga (PE),84514,98192,109655,127908,134988,149770
Tuparetama (PE),36179,38870,46444,52284,56900,63695
Venturosa (PE),69156,79376,93743,106324,109806,128974
Verdejante (PE),37743,37419,43785,45099,50109,58208
Vertente do Lério (PE),36475,52062,57014,60197,67685,56882
Vertentes (PE),64551,80661,91222,112239,126498,140586
Vicência (PE),196817,214258,251245,274324,288686,343864
Vitória de Santo Antão (PE),1073335,1461947,1789173,2219786,2583944,2909228
Xexéu (PE),61965,65972,77146,76279,77246,92384
